id,book_name,mention,canonical_entity,entity_type,confidence,run_id
46,In search of the castaways,Thalcave,Thalcave,CHAR,1.0,run_20260201_223201
46,In search of the castaways,Mr Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Mr. Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Mrs Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Mrs. Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Ms Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Ms. Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Miss Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Count Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Captain Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Doctor Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Dr Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Dr. Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Sir Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Madam Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Monsieur Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
46,In search of the castaways,Mademoiselle Thalcave,Thalcave,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Faria,Faria,CHAR,1.0,run_20260201_223201
137,The Count of Monte Cristo,Mr Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Mr. Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Mrs Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Mrs. Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Ms Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Ms. Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Miss Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Count Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Captain Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Doctor Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Dr Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Dr. Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Sir Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Madam Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Monsieur Faria,Faria,CHAR,0.25,run_20260201_223201
137,The Count of Monte Cristo,Mademoiselle Faria,Faria,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Kai-Koumou,Kai-Koumou,CHAR,1.0,run_20260201_223201
74,In search of the castaways,Mr Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Mr. Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Mrs Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Mrs. Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Ms Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Ms. Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Miss Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Count Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Captain Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Doctor Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Dr Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Dr. Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Sir Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Madam Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Monsieur Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
74,In search of the castaways,Mademoiselle Kai-Koumou,Kai-Koumou,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Noirtier,Noirtier,CHAR,1.0,run_20260201_223201
109,The Count of Monte Cristo,Mr Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Mr. Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Mrs Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Mrs. Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Ms Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Ms. Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Miss Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Count Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Captain Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Doctor Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Dr Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Dr. Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Sir Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Madam Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Monsieur Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
109,The Count of Monte Cristo,Mademoiselle Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Noirtier,Noirtier,CHAR,1.0,run_20260201_223201
104,The Count of Monte Cristo,Mr Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Mr. Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Mrs Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Mrs. Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Ms Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Ms. Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Miss Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Count Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Captain Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Doctor Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Dr Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Dr. Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
104,The Count of Monte Cristo,Sir Noirtier,Noirtier,CHAR,0.25,run_20260201_223201
