triple_id,id,claim_id,book_name,s,p,o,time_bucket,polarity,confidence,chunk_id,excerpt_span,excerpt_text,chapter_id,chunk_pos,support_label,run_id,best_rank,is_best
t_00001,46,46_c04,In search of the castaways,Thalcave,Claim,Boyhood was spent roaming the plains with his father,EARLY,POS,0.8074950240429042,castaways_ch000_w0107,"[141, 192]","""With the cazique Calfoucoura,"" answered Thalcave.",ch000,0.230501,SUPPORT,run_20260201_223201,1,True
t_00002,46,46_c05,In search of the castaways,Thalcave,Claim,steer by the stars.,EARLY,POS,0.799130348443985,castaways_ch000_w0121,"[746, 887]","Glenarvan, Robert, and Thalcave had yielded to the common law, and, stretched on their thick beds of grass, they enjoyed a refreshing sleep.",ch000,0.260441,SUPPORT,run_20260201_223201,2,False
t_00003,35,35_c01,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,The mutiny began when Captain Grant uncovered his forged logbook.,MID,POS,0.7831873227284539,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260201_223201,2,False
t_00004,35,35_c03,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,marooning' was a botched silencing in which Ayrton,MID,POS,0.810014354671048,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260201_223201,1,True
t_00005,18,18_c02,In search of the castaways,Jacques Paganel,Claim,saw his father's colleague dismissed.,EARLY,POS,0.7986691150299858,castaways_ch000_w0020,"[61, 445]","Lady Helena related the story of the document, how that the Britannia had been lost on the shores of Patagonia; in what way, after the shipwreck, the captain and two sailors, the only survivors, must have reached the continent; and, at last, how they implored the assistance of the whole world in this document, written in three languages, and abandoned to the caprices of the ocean.",ch000,0.044593,SUPPORT,run_20260201_223201,1,True
t_00006,68,68_c01,In search of the castaways,Kai-Koumou,Claim,At ten,LATE,POS,0.8198199689040612,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260201_223201,2,False
t_00007,68,68_c03,In search of the castaways,Kai-Koumou,Claim,carved on the handle his father's death-bed chant.,LATE,POS,0.8312513400604303,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260201_223201,1,True
t_00008,9,9_c02,In search of the castaways,Jacques Paganel,Claim,the romance ended,EARLY,POS,0.7971869175731953,castaways_ch000_w0020,"[61, 445]","Lady Helena related the story of the document, how that the Britannia had been lost on the shores of Patagonia; in what way, after the shipwreck, the captain and two sailors, the only survivors, must have reached the continent; and, at last, how they implored the assistance of the whole world in this document, written in three languages, and abandoned to the caprices of the ocean.",ch000,0.044593,SUPPORT,run_20260201_223201,1,True
t_00009,9,9_c02,In search of the castaways,Jacques Paganel,Claim,the romance ended,EARLY,POS,0.7814249203364125,castaways_ch000_w0140,"[14, 167]","Here they were introduced to Madame Ipharaguerre, who appeared to be ""a good-looking person,"" if this expression may be employed in regard to an Indian.",ch000,0.301878,SUPPORT,run_20260201_223201,2,False
t_00010,84,84_c02,In search of the castaways,Kai-Koumou,Claim,he took bones from their bodies as tokens,LATE,POS,0.7925268713033204,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260201_223201,2,False
t_00011,84,84_c03,In search of the castaways,Kai-Koumou,Claim,from that moment sealed his emotions.,LATE,POS,0.8318421538156155,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260201_223201,1,True
t_00012,83,83_c03,In search of the castaways,Kai-Koumou,Claim,survival skills,LATE,POS,0.8041093182255847,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260201_223201,1,True
t_00013,67,67_c01,In search of the castaways,Kai-Koumou,Claim,Born on New Zealand's North-island east coast to a Maori war-chief father.,LATE,POS,0.8118524613891797,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260201_223201,2,False
t_00014,67,67_c03,In search of the castaways,Kai-Koumou,Claim,star-reading,LATE,POS,0.8188470445871354,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260201_223201,1,True
t_00015,55,55_c01,In search of the castaways,Thalcave,Claim,His first double role.,EARLY,POS,0.8247291804735923,castaways_ch000_w0150,"[420, 497]","the flood!"" replied Thalcave, spurring his horse towards the north.] ""Quick!",ch000,0.323606,SUPPORT,run_20260201_223201,2,False
t_00016,55,55_c01,In search of the castaways,Thalcave,Claim,His first double role.,MID,POS,0.8522078347642833,castaways_ch000_w0186,"[141, 307]","""But we have not a moment to lose, my lord, for the tide is beginning to ebb."" The last acknowledgments were given, and Thalcave accompanied his friends to the boat.",ch000,0.401251,SUPPORT,run_20260201_223201,1,True
t_00017,12,12_c01,In search of the castaways,Jacques Paganel,Claim,He declined to take part in charting the maiden voyage of the Britannia.,EARLY,POS,0.7904872068092309,castaways_ch000_w0046,"[0, 103]","there you will find a vessel to take you back to Europe."" ""I thank you, my lord, and must be resigned.",ch000,0.099572,SUPPORT,run_20260201_223201,2,False
t_00018,12,12_c01,In search of the castaways,Jacques Paganel,Claim,He declined to take part in charting the maiden voyage of the Britannia.,EARLY,POS,0.8461054736432344,castaways_ch000_w0043,"[105, 450]","Feeling fatigued by thirty hours of travel, and knowing that a good way to avoid sea-sickness is to go to bed on embarking, and not stir from your bunk for the first days of the voyage, I retired immediately, and have conscientiously slept thirty-six hours, I assure you."" Jacques Paganel's hearers now knew the reason of his presence on board.",ch000,0.093142,SUPPORT,run_20260201_223201,1,True
t_00019,89,89_c01,The Count of Monte Cristo,Noirtier,Claim,Arguing for procedural justice at Louis XVI's trial.,EARLY,POS,0.7834732579368889,montecristo_ch000_w0127,"[88, 446]","“Well,” he said, turning towards his wondering son, when this disguise was completed, “well, do you think your police will recognize me now.” “No, father,” stammered Villefort; “at least, I hope not.” “And now, my dear boy,” continued Noirtier, “I rely on your prudence to remove all the things which I leave in your care.” “Oh, rely on me,” said Villefort.",ch000,0.081697,SUPPORT,run_20260201_223201,1,True
t_00020,99,99_c02,The Count of Monte Cristo,Noirtier,Claim,his mother's gentler sensibility,MID,POS,0.8125634458569571,montecristo_ch000_w0865,"[6, 320]","Noirtier disinherits Mademoiselle de Villefort because she is going to marry a man whose father he detested, he cannot have the same cause of complaint against this dear Edward.” “True,” said Madame de Villefort, with an intonation of voice which it is impossible to describe; “is it not unjust—shamefully unjust?",ch000,0.553498,SUPPORT,run_20260201_223201,1,True
t_00021,108,108_c02,The Count of Monte Cristo,Noirtier,Claim,pinned on his son Villefort the hope that the boy would carry his ideals forward.,EARLY,POS,0.8109658340506608,montecristo_ch000_w0127,"[88, 446]","“Well,” he said, turning towards his wondering son, when this disguise was completed, “well, do you think your police will recognize me now.” “No, father,” stammered Villefort; “at least, I hope not.” “And now, my dear boy,” continued Noirtier, “I rely on your prudence to remove all the things which I leave in your care.” “Oh, rely on me,” said Villefort.",ch000,0.081697,SUPPORT,run_20260201_223201,1,True
t_00022,69,69_c05,In search of the castaways,Kai-Koumou,Claim,sacrificed every prisoner to the volcano-god.,LATE,POS,0.7895426547460499,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260201_223201,1,True
t_00023,50,50_c01,In search of the castaways,Thalcave,Claim,He saved an old shepherd bitten by a viper.,EARLY,POS,0.8465931907944807,castaways_ch000_w0151,"[1495, 1638]","""Yes, yonder!"" replied Thalcave, and he pointed northward to a kind of gigantic walnut-tree, which rose solitary from the midst of the waters.",ch000,0.325802,SUPPORT,run_20260201_223201,2,False
t_00024,50,50_c02,In search of the castaways,Thalcave,Claim,in gratitude the man gave him a secret map of pampas water-holes.,EARLY,POS,0.8802163709427772,castaways_ch000_w0123,"[63, 126]","""No,"" replied Thalcave, ""aguaras."" Robert looked at Glenarvan.",ch000,0.264828,SUPPORT,run_20260201_223201,1,True
t_00025,5,5_c01,In search of the castaways,Jacques Paganel,Claim,During an Algerian geological survey he shielded a box of specimens in a sand-storm,MID,POS,0.8688972176487894,castaways_ch000_w0201,"[220, 315]","When the captain perceived the ladies, he approached and besought them to return to the cabin.",ch000,0.433518,SUPPORT,run_20260201_223201,1,True
t_00026,5,5_c02,In search of the castaways,Jacques Paganel,Claim,afterwards often mixed up dates.,EARLY,POS,0.7935130257192862,castaways_ch000_w0020,"[61, 445]","Lady Helena related the story of the document, how that the Britannia had been lost on the shores of Patagonia; in what way, after the shipwreck, the captain and two sailors, the only survivors, must have reached the continent; and, at last, how they implored the assistance of the whole world in this document, written in three languages, and abandoned to the caprices of the ocean.",ch000,0.044593,SUPPORT,run_20260201_223201,2,False
t_00027,39,39_c03,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,Lisbon trader,MID,POS,0.7934295773573337,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260201_223201,1,True
