id,split,prediction,evidence_score,support_weight,contradict_weight,neutral_weight,support_n,contradict_n,neutral_n,status,hard_violations,soft_violations,logic_conf,rationale
2,test,0,0.0,0.0,0.0,27.77695302225302,0,0,36,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
3,test,0,0.0,0.0,0.0,19.487953526268786,0,0,24,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
7,test,0,-1.7478242952942564,0.0,0.8739121476471282,26.602476481179142,0,1,35,SAT,0,0,0.0,Contradicting evidence found and no supporting evidence; defaulting to 0.
15,test,0,0.0,0.0,0.0,8.760795696106447,0,0,12,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
16,test,0,0.0,0.0,0.0,19.53744656345647,0,0,24,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
21,test,0,0.0,0.0,0.0,17.53846174673297,0,0,24,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
22,test,1,0.703303042539471,0.703303042539471,0.0,28.61448281798119,1,0,35,SAT,0,0,0.8287,Evidence supports the backstory claims; no hard contradictions detected.
24,test,0,0.0,0.0,0.0,19.34420366513854,0,0,24,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
27,test,0,-2.05624399910501,0.4753074840805814,1.2657757415927957,16.559542211011532,1,2,21,SAT,0,0,0.7831,Mixed evidence (support + contradict); prediction uses score/threshold.
28,test,1,2.0644639986410303,3.496006745720432,0.715771373539701,31.46671364025589,6,1,41,SAT,0,0,0.8122,Mixed evidence (support + contradict); prediction uses score/threshold.
30,test,1,2.181942418605246,3.32998613023997,0.5740218558173621,32.68501593084808,6,1,41,SAT,0,0,0.8118,Mixed evidence (support + contradict); prediction uses score/threshold.
33,test,0,0.0,0.0,0.0,9.836020264796542,0,0,12,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
37,test,1,3.9523280826095224,3.9523280826095224,0.0,51.203878894730614,7,0,65,SAT,0,0,0.8258,Evidence supports the backstory claims; no hard contradictions detected.
38,test,1,2.4774101201620313,2.4774101201620313,0.0,25.729865774627296,4,0,32,SAT,0,0,0.8481,Evidence supports the backstory claims; no hard contradictions detected.
42,test,0,-0.39965564910259976,2.285200673023676,1.342428161063138,24.363853271783583,4,2,30,SAT,0,0,0.8093,Mixed evidence (support + contradict); prediction uses score/threshold.
44,test,1,1.6827701051990824,1.6827701051990824,0.0,26.762591546700232,3,0,33,SAT,0,0,0.82,Evidence supports the backstory claims; no hard contradictions detected.
47,test,1,1.0791458483692846,3.412681665335449,1.1667679084830822,12.098081761973882,5,2,17,SAT,0,0,0.8607,Mixed evidence (support + contradict); prediction uses score/threshold.
49,test,0,-3.246118158486125,0.0,1.6230590792430626,8.168558659507081,0,2,10,SAT,0,0,0.0,Contradicting evidence found and no supporting evidence; defaulting to 0.
