id,prediction,split,dossier_path
1,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/1.md
2,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/2.md
3,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/3.md
4,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/4.md
5,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/5.md
6,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/6.md
7,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/7.md
8,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/8.md
9,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/9.md
10,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/10.md
11,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/11.md
12,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/12.md
13,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/13.md
14,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/14.md
15,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/15.md
16,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/16.md
17,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/17.md
18,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/18.md
19,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/19.md
20,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/20.md
21,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/21.md
22,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/22.md
23,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/23.md
24,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/24.md
25,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/25.md
26,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/26.md
27,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/27.md
28,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/28.md
29,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/29.md
30,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/30.md
31,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/31.md
32,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/32.md
33,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/33.md
34,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/34.md
35,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/35.md
36,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/36.md
37,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/37.md
38,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/38.md
39,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/39.md
40,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/40.md
41,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/41.md
42,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/42.md
43,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/43.md
44,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/44.md
45,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/45.md
46,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/46.md
47,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/47.md
48,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/48.md
49,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/49.md
50,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/50.md
51,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/51.md
52,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/52.md
53,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/53.md
54,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/54.md
55,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/55.md
56,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/56.md
57,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/57.md
58,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/58.md
59,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/59.md
60,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/60.md
61,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/61.md
62,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/62.md
63,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/63.md
64,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/64.md
65,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/65.md
66,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/66.md
67,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/67.md
68,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/68.md
69,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/69.md
70,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/70.md
71,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/71.md
72,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/72.md
73,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/73.md
74,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/74.md
75,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/75.md
76,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/76.md
77,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/77.md
78,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/78.md
79,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/79.md
80,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/80.md
81,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/81.md
82,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/82.md
83,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/83.md
84,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/84.md
85,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/85.md
86,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/86.md
87,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/87.md
88,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/88.md
89,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/89.md
90,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/90.md
91,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/91.md
92,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/92.md
93,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/93.md
94,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/94.md
95,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/95.md
96,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/96.md
97,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/97.md
98,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/98.md
99,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/99.md
100,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/100.md
101,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/101.md
102,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/102.md
103,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/103.md
104,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/104.md
105,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/105.md
106,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/106.md
107,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/107.md
108,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/108.md
109,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/109.md
110,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/110.md
111,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/111.md
112,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/112.md
113,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/113.md
114,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/114.md
115,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/115.md
116,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/116.md
117,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/117.md
118,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/118.md
119,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/119.md
120,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/120.md
121,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/121.md
122,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/122.md
123,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/123.md
124,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/124.md
125,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/125.md
126,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/126.md
127,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/127.md
128,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/128.md
129,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/129.md
130,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/130.md
131,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/131.md
132,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/132.md
133,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/133.md
134,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/134.md
135,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/135.md
136,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/136.md
137,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/137.md
138,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/138.md
139,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/139.md
140,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260225_221138/dossier/140.md
