id,claim_id,book_name,chunk_id,evidence_text,label,confidence,verifier_model,run_id
100,100_c01,The Count of Monte Cristo,montecristo_ch118_w0819,"But when you have the honor of associating with ordinary men, and the pleasure of leaving politics for a moment, try to find your affectionate heart, which you leave with your stick when you go to the Chamber.” “But tell me,” said Beauchamp, “what is life?",NEUTRAL,0.9890773594379425,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c01,The Count of Monte Cristo,montecristo_ch118_w0773,"While he was endeavoring to calm his fears,—and instead of dwelling upon the political future that had so often been the subject of his ambitious dreams, was imagining a future limited to the enjoyments of home, in fear of awakening the enemy that had so long slept,—the noise of a carriage sounded in the yard, then he heard the steps of an aged person ascending the stairs, followed by tears and lamentations, such as servants always give vent to when they wish to appear interested in their master’s grief.",NEUTRAL,0.9690562956106741,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c01,The Count of Monte Cristo,montecristo_ch118_w0772,"Zaccone,—son of a shipowner of Malta, discoverer of a mine in Thessaly, now visiting Paris for the first time,—what interest, I say, can he take in discovering a gloomy, mysterious, and useless fact like this?",NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c01,The Count of Monte Cristo,montecristo_ch117_w0125,"you see the king again?” “Perhaps.” “Would you pass in his eyes for a prophet?” “Prophets of evil are not in favor at the court, father.” “True, but some day they do them justice; and supposing a second restoration, you would then pass for a great man.” “Well, what should I say to the king?” “Say this to him: ‘Sire, you are deceived as to the feeling in France, as to the opinions of the towns, and the prejudices of the army; he whom in Paris you call the Corsican ogre, who at Nevers is styled the usurper, is already saluted as Bonaparte at Lyons, and emperor at Grenoble.",NEUTRAL,0.9640130451809703,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c01,The Count of Monte Cristo,montecristo_ch117_w0080,"“To whom is it addressed?” _“To Monsieur Noirtier, Rue Coq-Héron, Paris.”_ Had a thunderbolt fallen into the room, Villefort could not have been more stupefied.",NEUTRAL,0.9496008913034969,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c01,The Count of Monte Cristo,montecristo_ch117_w0061,"He was—nay, probably may still be—a Bonapartist, and is called Noirtier; I, on the contrary, am a staunch royalist, and style myself de Villefort.",NEUTRAL,0.9408865413916698,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c01,The Count of Monte Cristo,montecristo_ch117_w0153,He had often heard that shipwrecked persons had died through having eagerly devoured too much food.,NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c01,The Count of Monte Cristo,montecristo_ch118_w0769,"Not at all; why should I?” The countess placed herself before Monte Cristo, still holding in her hand a portion of the perfumed grapes.",NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c01,The Count of Monte Cristo,montecristo_ch118_w0335,"may be in such a connection; not altogether for preserving my life, for my own idea was that it never was in much danger, but certainly for saving me 4,000 piastres, which, being translated, means neither more nor less than 24,000 livres of our money—a sum at which, most assuredly, I should never have been estimated in France, proving most indisputably,” added Albert with a laugh, “that no prophet is honored in his own country.” “Talking of countries,” replied Franz, “of what country is the count, what is his native tongue, whence does he derive his immense fortune, and what were those events of his early life—a life as marvellous as unknown—that have tinctured his succeeding years with so dark and gloomy a misanthropy?",NEUTRAL,0.9276388265607933,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c01,The Count of Monte Cristo,montecristo_ch117_w0119,"But go on, what about the club in the Rue Saint-Jacques?” “Why, they induced General Quesnel to go there, and General Quesnel, who quitted his own house at nine o’clock in the evening, was found the next day in the Seine.” 0151m “And who told you this fine story?” “The king himself.” “Well, then, in return for your story,” continued Noirtier, “I will tell you another.” “My dear father, I think I already know what you are about to tell me.” “Ah, you have heard of the landing of the emperor?” “Not so loud, father, I entreat of you—for your own sake as well as mine.",NEUTRAL,0.9109669661261565,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c01,The Count of Monte Cristo,montecristo_ch117_w0147,"Dantès was a man of great simplicity of thought, and without education; he could not, therefore, in the solitude of his dungeon, traverse in mental vision the history of the ages, bring to life the nations that had perished, and rebuild the ancient cities so vast and stupendous in the light of the imagination, and that pass before the eye glowing with celestial colors in Martin’s Babylonian pictures.",NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c01,The Count of Monte Cristo,montecristo_ch118_w1296,"Let me see what time it is.” Danglars’ watch, one of Breguet’s repeaters, which he had carefully wound up on the previous night, struck half past five.",NEUTRAL,0.903665938202013,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c02,The Count of Monte Cristo,montecristo_ch118_w0773,"The white hair was thrown back from her yellow forehead, and her eyes, already sunken by the furrows of age, now almost disappeared beneath the eyelids swollen with grief.",CONTRADICT,0.9992053359746933,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c02,The Count of Monte Cristo,montecristo_ch118_w1296,"Without this, Danglars would have been quite ignorant of the time, for daylight did not reach his cell.",NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c02,The Count of Monte Cristo,montecristo_ch117_w0058,"An old man, decorated with the cross of Saint Louis, now rose and proposed the health of King Louis XVIII.",NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c02,The Count of Monte Cristo,montecristo_ch117_w0168,"Napoleon certainly he knew something of, inasmuch as he had seen and spoken with him; but of Clement VII.",NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c02,The Count of Monte Cristo,montecristo_ch118_w0772,"While he was endeavoring to calm his fears,—and instead of dwelling upon the political future that had so often been the subject of his ambitious dreams, was imagining a future limited to the enjoyments of home, in fear of awakening the enemy that had so long slept,—the noise",NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c02,The Count of Monte Cristo,montecristo_ch118_w0548,"“And then,” said Madame de Villefort, endeavoring by a struggle, and with effort, to get away from her thoughts, “however skilfully it is prepared, crime is always crime, and if it avoid human scrutiny, it does not escape the eye of God.",NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c02,The Count of Monte Cristo,montecristo_ch118_w1309,"“Is that Monte Cristo?” asked the traveller, to whose orders the yacht was for the time submitted, in a melancholy voice.",NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c02,The Count of Monte Cristo,montecristo_ch118_w0869,Monte Cristo looked at her with an indescribable expression of interest and pity.,NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c02,The Count of Monte Cristo,montecristo_ch117_w0125,"The soldiers you believe to be dying with hunger, worn out with fatigue, ready to desert, gather like atoms of snow about the rolling ball as it hastens onward.",CONTRADICT,0.9078921614601696,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c02,The Count of Monte Cristo,montecristo_ch118_w0776,"Valentine found her grandmother in bed; silent caresses, heartwrung sobs, broken sighs, burning tears, were all that passed in this sad interview, while Madame de Villefort, leaning on her husband’s arm, maintained all outward forms of respect, at least towards the poor widow.",CONTRADICT,0.9135571549076922,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c02,The Count of Monte Cristo,montecristo_ch117_w0061,"He was—nay, probably may still be—a Bonapartist, and is called Noirtier; I, on the contrary, am a staunch royalist, and style myself de Villefort.",CONTRADICT,0.9191843940814111,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
100,100_c02,The Count of Monte Cristo,montecristo_ch118_w0631,Noirtier’s eye still retained its inanimate expression.,CONTRADICT,0.920851951934978,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
101,101_c01,The Count of Monte Cristo,montecristo_ch118_w1296,"To a Parisian accustomed to silken curtains, walls hung with velvet drapery, and the soft perfume of burning wood, the white smoke of which diffuses itself in graceful curves around the room, the appearance of the whitewashed cell which greeted his eyes on awakening seemed like the continuation of some disagreeable dream.",NEUTRAL,0.9933937758207321,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
101,101_c01,The Count of Monte Cristo,montecristo_ch118_w0773,"de Saint-Méran had been unwell for some days; still, the idea of seeing our dear Valentine again inspired him with courage, and notwithstanding his illness he would leave.",NEUTRAL,0.9874056153626269,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
101,101_c01,The Count of Monte Cristo,montecristo_ch118_w0631,"Noirtier’s eye began to dilate, and his eyelids trembled with the same movement that may be perceived on the lips of an individual about to speak, and he darted a lightning glance at Madame de Villefort and his son.",NEUTRAL,0.9741922392922503,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
101,101_c01,The Count of Monte Cristo,montecristo_ch118_w0343,"private secretary to a minister, plunged at once into European cabals and Parisian intrigues; having kings, and, better still, queens, to protect, parties to unite, elections to direct; making more use of your cabinet with your pen",NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
101,101_c01,The Count of Monte Cristo,montecristo_ch118_w0483,"Standing well at court, whether the king regnant was of the older or younger branch, whether the government was doctrinaire liberal, or conservative; looked upon by all as a man of talent, since those who have never experienced a political check are generally so regarded; hated by many, but warmly supported by others, without being really liked by anybody, M.",NEUTRAL,0.65,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
101,101_c01,The Count of Monte Cristo,montecristo_ch118_w0916,"Noirtier is spared, because nothing is expected from him.",CONTRADICT,0.8362108713021639,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
101,101_c01,The Count of Monte Cristo,montecristo_ch118_w0824,"Noirtier, which she cannot be when she becomes the Baroness d’Épinay.",NEUTRAL,0.9459861972462756,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
101,101_c01,The Count of Monte Cristo,montecristo_ch118_w0628,"Both of the visitors, after saluting the old man and speaking to Barrois, a faithful servant, who had been twenty-five years in his service, took their places on either side of the paralytic.",CONTRADICT,0.7815813197680394,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
101,101_c01,The Count of Monte Cristo,montecristo_ch118_w1297,"He had noticed that a few rays, not of daylight, but from a lamp, penetrated through the ill-joined planks of the door; he approached just as the brigand was refreshing himself with a mouthful of brandy, which, owing to the leathern bottle containing it, sent forth an odor which was extremely unpleasant to Danglars.",NEUTRAL,0.93728980119355,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
101,101_c01,The Count of Monte Cristo,montecristo_ch118_w0772,"He dreaded not so much the revelation, for he could reply to or deny its truth;—he cared little for that _mene, mene, tekel upharsin_, which appeared suddenly in letters of blood upon the wall;—but what he was really anxious for was to discover whose hand had traced them.",NEUTRAL,0.9325527977602206,mnli:MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,run_20260225_221138
