id,split,prediction,evidence_score,support_weight,contradict_weight,neutral_weight,support_n,contradict_n,neutral_n,status,hard_violations,soft_violations,logic_conf,rationale
2,test,0,0.0,0.0,0.0,27.77695302225302,0,0,36,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
3,test,0,0.0,0.0,0.0,19.487953526268786,0,0,24,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
7,test,0,-1.7478242952942564,0.0,0.8739121476471282,26.602476481179142,0,1,35,SAT,0,0,0.0,Contradicting evidence found and no supporting evidence; defaulting to 0.
15,test,0,0.0,0.0,0.0,8.760795696106447,0,0,12,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
16,test,0,0.0,0.0,0.0,19.53744656345647,0,0,24,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
21,test,0,0.0,0.0,0.0,17.53846174673297,0,0,24,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
22,test,1,0.703303042539471,0.703303042539471,0.0,28.61448281798119,1,0,35,SAT,0,0,0.8287,Evidence supports the backstory claims; no hard contradictions detected.
24,test,0,0.0,0.0,0.0,19.34420366513854,0,0,24,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
27,test,0,-2.5315514831855914,0.0,1.2657757415927957,17.034849695092113,0,2,22,SAT,0,0,0.0,Contradicting evidence found and no supporting evidence; defaulting to 0.
28,test,0,-0.20346420125765374,1.2280785458217482,0.715771373539701,33.65473525214946,2,1,45,SAT,0,0,0.8122,Mixed evidence (support + contradict); prediction uses score/threshold.
30,test,1,0.5795600532283827,1.7276037648631068,0.5740218558173621,34.23761139164217,3,1,44,SAT,0,0,0.8118,Mixed evidence (support + contradict); prediction uses score/threshold.
33,test,0,0.0,0.0,0.0,9.836020264796542,0,0,12,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
37,test,1,0.5456095628632642,0.5456095628632642,0.0,54.375620552214386,1,0,71,SAT,0,0,0.7971,Evidence supports the backstory claims; no hard contradictions detected.
38,test,1,1.346472326295038,1.346472326295038,0.0,26.825956685640165,2,0,34,SAT,0,0,0.8481,Evidence supports the backstory claims; no hard contradictions detected.
42,test,0,-1.0062161793334574,1.6786401427928184,1.342428161063138,24.913853271783584,3,2,31,SAT,0,0,0.8088,Mixed evidence (support + contradict); prediction uses score/threshold.
44,test,0,0.0,0.0,0.0,28.335514410672467,0,0,36,SAT,0,0,0.0,No supporting evidence; defaulting to 0.
47,test,1,0.5270260547081653,2.8605618716743297,1.1667679084830822,12.648081761973883,4,2,18,SAT,0,0,0.8607,Mixed evidence (support + contradict); prediction uses score/threshold.
49,test,0,-3.246118158486125,0.0,1.6230590792430626,8.168558659507081,0,2,10,SAT,0,0,0.0,Contradicting evidence found and no supporting evidence; defaulting to 0.
