id,claim_id,book_name,k_found,buckets_covered,unique_chapters,split,run_id
46,46_c01,In search of the castaways,12,2,1,train,run_20260201_220716
46,46_c02,In search of the castaways,12,2,1,train,run_20260201_220716
46,46_c03,In search of the castaways,12,2,1,train,run_20260201_220716
46,46_c04,In search of the castaways,12,2,1,train,run_20260201_220716
46,46_c05,In search of the castaways,12,3,1,train,run_20260201_220716
137,137_c01,The Count of Monte Cristo,12,3,1,train,run_20260201_220716
137,137_c02,The Count of Monte Cristo,12,3,1,train,run_20260201_220716
74,74_c01,In search of the castaways,12,1,1,train,run_20260201_220716
109,109_c01,The Count of Monte Cristo,12,3,1,train,run_20260201_220716
109,109_c02,The Count of Monte Cristo,12,3,1,train,run_20260201_220716
104,104_c01,The Count of Monte Cristo,12,3,1,train,run_20260201_220716
104,104_c02,The Count of Monte Cristo,12,3,1,train,run_20260201_220716
35,35_c01,In search of the castaways,12,3,1,train,run_20260201_220716
35,35_c02,In search of the castaways,12,2,1,train,run_20260201_220716
35,35_c03,In search of the castaways,12,2,1,train,run_20260201_220716
18,18_c01,In search of the castaways,12,2,1,train,run_20260201_220716
18,18_c02,In search of the castaways,12,2,1,train,run_20260201_220716
18,18_c03,In search of the castaways,12,2,1,train,run_20260201_220716
31,31_c01,In search of the castaways,12,3,1,train,run_20260201_220716
31,31_c02,In search of the castaways,12,3,1,train,run_20260201_220716
31,31_c03,In search of the castaways,12,3,1,train,run_20260201_220716
68,68_c01,In search of the castaways,12,2,1,train,run_20260201_220716
68,68_c02,In search of the castaways,12,1,1,train,run_20260201_220716
68,68_c03,In search of the castaways,12,1,1,train,run_20260201_220716
68,68_c04,In search of the castaways,12,1,1,train,run_20260201_220716
9,9_c01,In search of the castaways,12,3,1,train,run_20260201_220716
9,9_c02,In search of the castaways,12,2,1,train,run_20260201_220716
84,84_c01,In search of the castaways,12,1,1,train,run_20260201_220716
84,84_c02,In search of the castaways,12,1,1,train,run_20260201_220716
84,84_c03,In search of the castaways,12,1,1,train,run_20260201_220716
83,83_c01,In search of the castaways,12,2,1,train,run_20260201_220716
83,83_c02,In search of the castaways,12,1,1,train,run_20260201_220716
83,83_c03,In search of the castaways,12,1,1,train,run_20260201_220716
83,83_c04,In search of the castaways,12,1,1,train,run_20260201_220716
134,134_c01,The Count of Monte Cristo,12,2,1,train,run_20260201_220716
134,134_c02,The Count of Monte Cristo,12,3,1,train,run_20260201_220716
88,88_c01,The Count of Monte Cristo,12,3,1,train,run_20260201_220716
