id,prediction,split,dossier_path
1,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/1.md
2,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/2.md
3,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/3.md
4,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/4.md
5,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/5.md
6,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/6.md
7,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/7.md
8,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/8.md
9,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/9.md
10,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/10.md
11,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/11.md
12,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/12.md
13,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/13.md
14,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/14.md
15,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/15.md
16,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/16.md
17,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/17.md
18,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/18.md
19,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/19.md
20,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/20.md
21,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/21.md
22,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/22.md
23,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/23.md
24,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/24.md
25,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/25.md
26,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/26.md
27,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/27.md
28,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/28.md
29,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/29.md
30,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/30.md
31,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/31.md
32,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/32.md
33,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/33.md
34,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/34.md
35,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/35.md
36,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/36.md
37,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/37.md
38,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/38.md
39,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/39.md
40,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/40.md
41,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260112_111511/dossier/41.md
