id,claim_id,book_name,k_found,buckets_covered,unique_chapters,split,run_id
46,46_c01,In search of the castaways,12,2,1,train,run_20260224_144517
46,46_c02,In search of the castaways,12,2,1,train,run_20260224_144517
46,46_c03,In search of the castaways,12,2,1,train,run_20260224_144517
46,46_c04,In search of the castaways,12,2,1,train,run_20260224_144517
46,46_c05,In search of the castaways,12,3,1,train,run_20260224_144517
137,137_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
137,137_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
74,74_c01,In search of the castaways,12,1,1,train,run_20260224_144517
109,109_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
109,109_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
104,104_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
104,104_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
35,35_c01,In search of the castaways,12,3,1,train,run_20260224_144517
35,35_c02,In search of the castaways,12,2,1,train,run_20260224_144517
35,35_c03,In search of the castaways,12,2,1,train,run_20260224_144517
18,18_c01,In search of the castaways,12,2,1,train,run_20260224_144517
18,18_c02,In search of the castaways,12,2,1,train,run_20260224_144517
18,18_c03,In search of the castaways,12,2,1,train,run_20260224_144517
31,31_c01,In search of the castaways,12,3,1,train,run_20260224_144517
31,31_c02,In search of the castaways,12,3,1,train,run_20260224_144517
31,31_c03,In search of the castaways,12,3,1,train,run_20260224_144517
68,68_c01,In search of the castaways,12,2,1,train,run_20260224_144517
68,68_c02,In search of the castaways,12,1,1,train,run_20260224_144517
68,68_c03,In search of the castaways,12,1,1,train,run_20260224_144517
68,68_c04,In search of the castaways,12,1,1,train,run_20260224_144517
9,9_c01,In search of the castaways,12,3,1,train,run_20260224_144517
9,9_c02,In search of the castaways,12,2,1,train,run_20260224_144517
84,84_c01,In search of the castaways,12,1,1,train,run_20260224_144517
84,84_c02,In search of the castaways,12,1,1,train,run_20260224_144517
84,84_c03,In search of the castaways,12,1,1,train,run_20260224_144517
83,83_c01,In search of the castaways,12,2,1,train,run_20260224_144517
83,83_c02,In search of the castaways,12,1,1,train,run_20260224_144517
83,83_c03,In search of the castaways,12,1,1,train,run_20260224_144517
83,83_c04,In search of the castaways,12,1,1,train,run_20260224_144517
134,134_c01,The Count of Monte Cristo,12,2,1,train,run_20260224_144517
134,134_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
88,88_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
88,88_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
67,67_c01,In search of the castaways,12,1,1,train,run_20260224_144517
67,67_c02,In search of the castaways,12,1,1,train,run_20260224_144517
67,67_c03,In search of the castaways,12,2,1,train,run_20260224_144517
67,67_c04,In search of the castaways,12,1,1,train,run_20260224_144517
112,112_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
112,112_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
79,79_c01,In search of the castaways,12,1,1,train,run_20260224_144517
79,79_c02,In search of the castaways,12,3,1,train,run_20260224_144517
55,55_c01,In search of the castaways,12,3,1,train,run_20260224_144517
55,55_c02,In search of the castaways,12,2,1,train,run_20260224_144517
12,12_c01,In search of the castaways,12,3,1,train,run_20260224_144517
12,12_c02,In search of the castaways,12,3,1,train,run_20260224_144517
13,13_c01,In search of the castaways,12,3,1,train,run_20260224_144517
13,13_c02,In search of the castaways,12,2,1,train,run_20260224_144517
102,102_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
102,102_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
92,92_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
92,92_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
92,92_c03,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
1,1_c01,In search of the castaways,12,3,1,train,run_20260224_144517
1,1_c02,In search of the castaways,12,2,1,train,run_20260224_144517
1,1_c03,In search of the castaways,12,2,1,train,run_20260224_144517
11,11_c01,In search of the castaways,12,2,1,train,run_20260224_144517
11,11_c02,In search of the castaways,12,2,1,train,run_20260224_144517
65,65_c01,In search of the castaways,12,2,1,train,run_20260224_144517
65,65_c02,In search of the castaways,12,3,1,train,run_20260224_144517
65,65_c03,In search of the castaways,12,3,1,train,run_20260224_144517
107,107_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
107,107_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
107,107_c03,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
66,66_c01,In search of the castaways,12,3,1,train,run_20260224_144517
66,66_c02,In search of the castaways,12,3,1,train,run_20260224_144517
89,89_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
89,89_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
34,34_c01,In search of the castaways,12,2,1,train,run_20260224_144517
34,34_c02,In search of the castaways,12,3,1,train,run_20260224_144517
99,99_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
99,99_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
123,123_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
116,116_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
43,43_c01,In search of the castaways,12,2,1,train,run_20260224_144517
43,43_c02,In search of the castaways,12,3,1,train,run_20260224_144517
108,108_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
108,108_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
128,128_c01,The Count of Monte Cristo,12,2,1,train,run_20260224_144517
29,29_c01,In search of the castaways,12,3,1,train,run_20260224_144517
69,69_c01,In search of the castaways,12,2,1,train,run_20260224_144517
69,69_c02,In search of the castaways,12,1,1,train,run_20260224_144517
69,69_c03,In search of the castaways,12,1,1,train,run_20260224_144517
69,69_c04,In search of the castaways,12,1,1,train,run_20260224_144517
69,69_c05,In search of the castaways,12,1,1,train,run_20260224_144517
50,50_c01,In search of the castaways,12,3,1,train,run_20260224_144517
50,50_c02,In search of the castaways,12,1,1,train,run_20260224_144517
50,50_c03,In search of the castaways,12,3,1,train,run_20260224_144517
5,5_c01,In search of the castaways,12,3,1,train,run_20260224_144517
5,5_c02,In search of the castaways,12,2,1,train,run_20260224_144517
39,39_c01,In search of the castaways,12,3,1,train,run_20260224_144517
39,39_c02,In search of the castaways,12,3,1,train,run_20260224_144517
39,39_c03,In search of the castaways,12,3,1,train,run_20260224_144517
19,19_c01,In search of the castaways,12,3,1,train,run_20260224_144517
19,19_c02,In search of the castaways,12,2,1,train,run_20260224_144517
113,113_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
113,113_c02,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
139,139_c01,The Count of Monte Cristo,12,2,1,train,run_20260224_144517
139,139_c02,The Count of Monte Cristo,12,2,1,train,run_20260224_144517
71,71_c01,In search of the castaways,12,2,1,train,run_20260224_144517
71,71_c02,In search of the castaways,12,1,1,train,run_20260224_144517
71,71_c03,In search of the castaways,12,2,1,train,run_20260224_144517
71,71_c04,In search of the castaways,12,1,1,train,run_20260224_144517
71,71_c05,In search of the castaways,12,1,1,train,run_20260224_144517
26,26_c01,In search of the castaways,12,3,1,train,run_20260224_144517
26,26_c02,In search of the castaways,12,3,1,train,run_20260224_144517
26,26_c03,In search of the castaways,12,3,1,train,run_20260224_144517
26,26_c04,In search of the castaways,12,2,1,train,run_20260224_144517
117,117_c01,The Count of Monte Cristo,12,3,1,train,run_20260224_144517
117,117_c02,The Count of Monte Cristo,12,1,1,train,run_20260224_144517
6,6_c01,In search of the castaways,12,2,1,train,run_20260224_144517
